False,False,False,0
False,False,False,-2,499994
False,False,False,-2,499994
False,False,False,-2,499994
False,False,False,-2,499995
False,False,False,-2,499995
False,False,False,-2,499995
False,False,False,-2,499995
False,False,False,-2,499995
False,False,False,-2,499996
False,False,False,-2,499996
False,False,False,-2,499996
False,False,False,-2,499996
False,False,False,-2,499997
False,False,False,-2,499997
False,False,False,-2,499997
False,False,False,-2,499997
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499998
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,499999
False,False,False,-2,469226
False,False,False,-2,43493
False,False,False,-2,408854
False,False,False,-2,385451
False,False,False,-2,36327
False,False,False,-2,340902
False,False,False,-2,320342
False,False,False,-2,300642
False,False,False,-2,280057
False,False,False,-2,262381
False,False,False,-2,243915
False,False,False,-2,226381
False,False,False,-2,208022
False,False,False,-2,19194
False,False,False,-2,176201
False,False,False,-2,160579
False,False,False,-2,144315
False,False,False,-2,129563
False,False,False,-2,11542
False,False,False,-2,100946
False,False,False,-2,086762
False,False,False,-2,07304
False,False,False,-2,059964
False,False,False,-2,046751
False,False,False,-2,033731
False,False,False,-2,021319
False,False,False,-2,008571
False,False,False,-1,996619
False,False,False,-1,984822
False,False,False,-1,973006
False,False,False,-1,960985
False,False,False,-1,943665
False,False,False,-1,932311
False,False,False,-1,92161
False,False,False,-1,910309
False,False,False,-1,899986
False,False,False,-1,889141
False,False,False,-1,878706
False,False,False,-1,868535
False,False,False,-1,858634
False,False,False,-1,848221
False,False,False,-1,837653
False,False,False,-1,827488
False,False,False,-1,816712
False,False,False,-1,80648
False,False,False,-1,796154
False,False,False,-1,785443
False,False,False,-1,775504
False,False,False,-1,76424
False,False,False,-1,753645
False,False,False,-1,74448
False,False,False,-1,734279
False,False,False,-1,725711
False,False,False,-1,71635
False,False,False,-1,707584
False,False,False,-1,698038
False,False,False,-1,689533
False,False,False,-1,679658
False,False,False,-1,669695
False,False,False,-1,660963
False,False,False,-1,652515
False,False,False,-1,645186
False,False,False,-1,637348
False,False,False,-1,630281
False,False,False,-1,623564
False,False,False,-1,617308
False,False,False,-1,610863
False,False,False,-1,605291
False,False,False,-1,599774
False,False,False,-1,594505
False,False,False,-1,589558
False,False,False,-1,585216
False,False,False,-1,580758
False,False,False,-1,576491
False,False,False,-1,572233
False,False,False,-1,568529
False,False,False,-1,564611
False,False,False,-1,561285
False,False,False,-1,557993
False,False,False,-1,5549
False,False,False,-1,551717
False,False,False,-1,549172
False,False,False,-1,546622
False,False,False,-1,544231
False,False,False,-1,541859
False,False,False,-1,539643
False,False,False,-1,537293
False,False,False,-1,535253
False,False,False,-1,533372
False,False,False,-1,531642
False,False,False,-1,530063
False,False,False,-1,528286
False,False,False,-1,526918
False,False,False,-1,525504
False,False,False,-1,524154
False,False,False,-1,522895
False,False,False,-1,521756
False,False,False,-1,520625
False,False,False,-1,519469
False,False,False,-1,51845
False,False,False,-1,517494
False,False,False,-1,516469
False,False,False,-1,515593
False,False,False,-1,51472
False,False,False,-1,513916
False,False,False,-1,512728
False,False,False,-1,51206
False,False,False,-1,511446
False,False,False,-1,510798
False,False,False,-1,51025
False,False,False,-1,509712
False,False,False,-1,50921
False,False,False,-1,508735
False,False,False,-1,508286
False,False,False,-1,50784
False,False,False,-1,507441
False,False,False,-1,50705
False,False,False,-1,506693
False,False,False,-1,506347
False,False,False,-1,50601
False,False,False,-1,505688
False,False,False,-1,505404
False,False,False,-1,505089
False,False,False,-1,504833
False,False,False,-1,504579
False,False,False,-1,504352
False,False,False,-1,504117
False,False,False,-1,503899
False,False,False,-1,503692
False,False,False,-1,503496
False,False,False,-1,503317
False,False,False,-1,50315
False,False,False,-1,502962
False,False,False,-1,502804
False,False,False,-1,502658
False,False,False,-1,502525
False,False,False,-1,502395
False,False,False,-1,502251
False,False,False,-1,50209
False,False,False,-1,501973
False,False,False,-1,501848
False,False,False,-1,501735
False,False,False,-1,501623
False,False,False,-1,50151
False,False,False,-1,501426
False,False,False,-1,501341
False,False,False,-1,501262
False,False,False,-1,501191
False,False,False,-1,501124
False,False,False,-1,50106
False,False,False,-1,501001
False,False,False,-1,500942
False,False,False,-1,500892
False,False,False,-1,500842
False,False,False,-1,5008
False,False,False,-1,50076
False,False,False,-1,50072
False,False,False,-1,500679
False,False,False,-1,500643
False,False,False,-1,500604
False,False,False,-1,500575
False,False,False,-1,500545
False,False,False,-1,500517
False,False,False,-1,500489
False,False,False,-1,500465
False,False,False,-1,500441
False,False,False,-1,500417
False,False,False,-1,500395
False,False,False,-1,500374
False,False,False,-1,500355
False,False,False,-1,500337
False,False,False,-1,500318
False,False,False,-1,500301
False,False,False,-1,500286
False,False,False,-1,50027
False,False,False,-1,500256
False,False,False,-1,500243
False,False,False,-1,500228
False,False,False,-1,500217
False,False,False,-1,500206
False,False,False,-1,500189
False,False,False,-1,500179
False,False,False,-1,500169
False,False,False,-1,50016
False,False,False,-1,500152
False,False,False,-1,500144
False,False,False,-1,500136
False,False,False,-1,500128
False,False,False,-1,500122
False,False,False,-1,500115
False,False,False,-1,500109
False,False,False,-1,500103
False,False,False,-1,500098
False,False,False,-1,500093
False,False,False,-1,500088
False,False,False,-1,500083
False,False,False,-1,500079
False,False,False,-1,500075
False,False,False,-1,500071
False,False,False,-1,500067
False,False,False,-1,500064
False,False,False,-1,50006
False,False,False,-1,500057
False,False,False,-1,500054
False,False,False,-1,500052
False,False,False,-1,500049
False,False,False,-1,500046
False,False,False,-1,500044
False,False,False,-1,500041
False,False,False,-1,500039
False,False,False,-1,500037
False,False,False,-1,500035
False,False,False,-1,500033
False,False,False,-1,500031
False,False,False,-1,50003
False,False,False,-1,500028
False,False,False,-1,500027
False,False,False,-1,500025
False,False,False,-1,500024
False,False,False,-1,500023
False,False,False,-1,500022
False,False,False,-1,50002
False,False,False,-1,500019
False,False,False,-1,500018
False,False,False,-1,500017
False,False,False,-1,500016
False,False,False,-1,500016
False,False,False,-1,500015
False,False,False,-1,500014
False,False,False,-1,500013
False,False,False,-1,500013
False,False,False,-1,500012
False,False,False,-1,500011
False,False,False,-1,500011
False,False,False,-1,50001
False,False,False,-1,50001
False,False,False,-1,500009
False,False,False,-1,500009
False,False,False,-1,500008
False,False,False,-1,500008
False,False,False,-1,500007
False,False,False,-1,500007
False,False,False,-1,500006
False,False,False,-1,500006
False,False,False,-1,500006
False,False,False,-1,500005
False,False,False,-1,500005
True,False,False,-1,500005
False,False,False,-1,500004
False,False,False,-1,500004
False,False,False,-1,500004
False,False,False,-1,500004
False,False,False,-1,500003
False,False,False,-1,500003
False,False,False,-1,500003
False,False,False,-1,500003
False,False,False,-1,500003
False,False,False,-1,500003
False,False,False,-1,500003
False,False,False,-1,500002
False,False,False,-1,500002
False,False,False,-1,500002
False,False,False,-1,500002
False,False,False,-1,500002
False,False,False,-1,500002
False,False,False,-1,500002
False,False,False,-1,500002
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,500001
False,False,False,-1,366759
False,False,False,-1,24168
False,False,False,-1,128607
False,False,False,-1,020325
False,False,False,-0,9124551
False,False,False,-0,8096352
False,False,False,-0,7198831
False,False,False,-0,6319953
False,False,False,-0,546701
False,False,False,-0,4657352
False,False,False,-0,3900405
False,False,False,-0,3211781
False,False,False,-0,2496033
False,False,False,-0,1861761
False,False,False,-0,1236815
False,False,False,-0,0662733
False,False,False,-0,001768433
False,False,False,0,05116517
False,False,False,0,1007677
False,False,False,0,1482042
False,False,False,0,1933683
False,False,False,0,2340248
False,False,False,0,2785545
False,False,False,0,3198665
False,False,False,0,357343
False,False,False,0,3930012
False,False,False,0,4292141
False,False,False,0,4580692
False,False,False,0,4858239
False,False,False,0,5130143
False,False,False,0,5414888
False,False,False,0,5658996
False,False,False,0,5894721
False,False,False,0,6112812
False,False,False,0,6313421
False,False,False,0,6501257
False,False,False,0,6687631
False,False,False,0,6863367
False,False,False,0,7121954
False,False,False,0,7276775
False,False,False,0,7418959
False,False,False,0,7547302
False,False,False,0,7676682
False,False,False,0,7798557
False,False,False,0,7912164
False,False,False,0,8021238
False,False,False,0,8121082
False,False,False,0,8222504
False,False,False,0,8313968
False,False,False,0,8399169
False,False,False,0,8480363
False,False,False,0,8562784
False,False,False,0,8636234
False,False,False,0,8706986
False,False,False,0,8770523
False,False,False,0,8836309
False,False,False,0,8895197
False,False,False,0,8954103
False,False,False,0,901031
False,False,False,0,9060677
False,False,False,0,9108326
False,False,False,0,915361
False,False,False,0,9199684
False,False,False,0,9240375
False,False,False,0,9276943
False,False,False,0,9314656
False,False,False,0,9350284
False,False,False,0,9384363
False,False,False,0,941538
False,False,False,0,9447179
False,False,False,0,947504
False,False,False,0,9501885
False,False,False,0,9527167
False,False,False,0,9551611
False,False,False,0,9574847
False,False,False,0,9596922
False,False,False,0,9618056
False,False,False,0,9638478
False,False,False,0,9656315
False,False,False,0,9675647
False,False,False,0,9698696
False,False,False,0,9715059
False,False,False,0,9729535
False,False,False,0,974507
False,False,False,0,9758356
False,False,False,0,9770703
False,False,False,0,9782493
False,False,False,0,9794031
False,False,False,0,9804871
False,False,False,0,9815053
False,False,False,0,9824088
False,False,False,0,9214883
False,False,False,0,8575851
False,False,False,0,8104905
False,False,False,0,7644417
False,False,False,0,7204477
False,False,False,0,6790212
False,False,False,0,6386227
False,False,False,0,59753
False,False,False,0,5580398
False,False,False,0,5193627
False,False,False,0,4816816
False,False,False,0,4493522
False,False,False,0,4145847
False,False,False,0,3815694
False,False,False,0,3476033
False,False,False,0,3168012
False,False,False,0,2876433
False,False,False,0,2567258
False,False,False,0,2274837
False,False,False,0,1997186
False,False,False,0,1719991
False,False,False,0,1438221
False,False,False,0,1174306
False,False,False,0,07669076
False,False,False,0,05098876
False,False,False,0,02591665
False,False,False,0,001842115
False,False,False,-0,02085547
False,False,False,-0,04581392
False,False,False,-0,06999657
False,False,False,-0,09255687
False,False,False,-0,1173156
False,False,False,-0,1388461
False,False,False,-0,1615031
False,False,False,-0,1849795
False,False,False,-0,2078723
False,False,False,-0,2294705
False,False,False,-0,2514915
False,False,False,-0,2715471
False,False,False,-0,2929204
